ticker,company_name,sector,industry,fiscal_year,currency,unit,revenue,ebitda,ebit,net_income,eps,total_assets,total_equity,total_debt,cash,net_debt,operating_cash_flow,capex,free_cash_flow,dividend_per_share,equity_ratio_pct,core_completeness_score,full_completeness_score,extraction_status,source_file,notes
GEBN.SW,Geberit AG,Industrials,Building Products,2016,CHF,CHF_millions,2809.0,785.2,640.1,548.2,14.88,3601.1,1635.2,438.1,509.7,-71.59999999999997,715.2,139.1,563.9,10.0,45.41,7/7,13/13,GO,GEBN.SW_2016.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2017,CHF,CHF_millions,2908.3,772.0,621.7,527.4,14.34,3742.8,1837.2,435.3,412.7,22.600000000000023,640.4,159.0,483.4,10.4,49.09,7/7,13/13,GO,GEBN.SW_2017.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2018,CHF,CHF_millions,3080.5,867.8,707.6,597.2,16.4,3501.8,1745.4,386.3,282.2,104.10000000000002,747.5,162.0,582.0,10.8,49.84,7/7,13/13,GO,GEBN.SW_2018.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2019,CHF,CHF_millions,3082.9,903.9,756.6,646.9,17.97,3725.3,1899.0,428.5,408.1,20.399999999999977,834.0,147.0,484.0,8.4,50.98,7/7,13/13,GO,GEBN.SW_2019.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2020,CHF,CHF_millions,2986.1,925.3,771.5,642.3,17.95,3751.0,1922.0,440.9,468.6,-27.700000000000045,900.0,139.0,557.0,10.0,51.24,7/7,13/13,GO,GEBN.SW_2020.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2021,CHF,CHF_millions,3460.5,1069.3,901.6,755.7,21.34,3751.0,1987.7,837.0,511.0,326.0,998.9,169.0,809.0,12.5,52.99,7/7,13/13,GO,GEBN.SW_2021.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2022,CHF,CHF_millions,3391.9,908.6,755.0,706.3,20.48,3429.2,1497.0,324.3,205.7,118.60000000000002,736.0,155.0,562.0,12.6,43.65,7/7,13/13,GO,GEBN.SW_2022.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2023,CHF,CHF_millions,3083.9,920.9,768.5,617.0,18.39,3556.2,1320.1,317.3,356.8,-39.5,857.9,197.0,625.0,12.7,37.12,7/7,13/13,GO,GEBN.SW_2023.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2024,CHF,CHF_millions,3085.5,912.6,761.8,597.1,18.06,3641.0,1302.0,321.3,407.7,-86.39999999999998,847.6,182.0,613.0,12.8,35.76,7/7,13/13,GO,GEBN.SW_2024.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2025,CHF,CHF_millions,3162.9,930.6,767.2,597.8,18.15,3857.9,1517.1,301.9,585.8,-283.9,866.9,173.0,659.0,12.9,39.32,7/7,13/13,GO,GEBN.SW_2025.pdf,
